Stock,CurrentPrice,PreviousPrice,ChangePercent,Volume,Sector,Volatility,Drawdown,BenchmarkChangePercent,Timestamp
TCS,3620,3575,1.26,1250000,IT,0.18,-3.20,0.82,2026-08-12T10:00:00
Infosys,1610,1590,1.26,980000,IT,0.21,-4.50,0.82,2026-08-12T10:00:00
HDFC Bank,1630,1660,-1.81,1500000,Banking,0.16,-5.80,0.82,2026-08-12T10:00:00
Reliance,2980,2940,1.36,2100000,Energy,0.19,-2.70,0.82,2026-08-12T10:00:00
ICICI Bank,1265,1240,2.02,1750000,Banking,0.17,-3.10,0.82,2026-08-12T10:00:00
ITC,525,518,1.35,2300000,FMCG,0.14,-2.40,0.82,2026-08-12T10:00:00
L&T,3520,3475,1.29,850000,Infrastructure,0.20,-4.10,0.82,2026-08-12T10:00:00
SBI,820,808,1.49,1900000,Banking,0.22,-6.20,0.82,2026-08-12T10:00:00
HCLTech,1485,1460,1.71,760000,IT,0.23,-5.10,0.82,2026-08-12T10:00:00
Wipro,485,478,1.46,1100000,IT,0.24,-6.40,0.82,2026-08-12T10:00:00
Bharti Airtel,1890,1865,1.34,1350000,Telecom,0.18,-3.60,0.82,2026-08-12T10:00:00
Asian Paints,2925,2890,1.21,620000,Consumer,0.19,-4.20,0.82,2026-08-12T10:00:00
Maruti Suzuki,13200,13080,0.92,480000,Automobile,0.21,-5.30,0.82,2026-08-12T10:00:00
Sun Pharma,1780,1755,1.42,690000,Pharma,0.20,-3.90,0.82,2026-08-12T10:00:00
Titan,3650,3605,1.25,540000,Consumer,0.22,-4.70,0.82,2026-08-12T10:00:00
