Stock,Headline
Reliance,Oil prices remain stable
Reliance,Retail business reports steady customer demand
Reliance,Energy sector activity remains stable
Infosys,Won new AI contract
Infosys,Technology demand supports continued digital spending
Infosys,Infosys expands enterprise AI services
HDFC Bank,RBI releases new banking guidelines
HDFC Bank,Private banking sector sees steady credit demand
HDFC Bank,HDFC Bank reports stable loan growth
TCS,Strong quarterly earnings
TCS,Enterprise technology spending remains resilient
TCS,TCS expands AI and cloud service offerings
ICICI Bank,ICICI Bank reports strong loan growth
ICICI Bank,Private banking activity remains steady
ICICI Bank,Digital banking adoption continues to increase
ITC,FMCG demand remains stable
ITC,Consumer product demand supports FMCG sector
ITC,ITC maintains focus on diversified consumer businesses
L&T,Infrastructure spending supports order activity
L&T,L&T reports continued infrastructure project execution
L&T,Capital expenditure activity remains supportive for infrastructure companies
SBI,Banking sector credit demand remains steady
SBI,SBI expands digital banking services
SBI,Public sector banking activity remains stable
HCLTech,Enterprise technology spending supports IT services
HCLTech,HCLTech expands cloud and AI service offerings
HCLTech,Digital transformation demand remains steady
Wipro,Wipro expands enterprise AI capabilities
Wipro,IT services demand remains supported by digital transformation
Wipro,Technology outsourcing activity remains stable
Bharti Airtel,Telecom data consumption continues to grow
Bharti Airtel,5G adoption supports telecom sector activity
Bharti Airtel,Telecom subscriber demand remains steady
Asian Paints,Urban consumer demand supports decorative paints
Asian Paints,Paint industry demand remains stable
Asian Paints,Input cost conditions remain monitored by the sector
Maruti Suzuki,Passenger vehicle demand remains steady
Maruti Suzuki,Automobile sector activity remains supported by consumer demand
Maruti Suzuki,Vehicle sales remain an important indicator for the automobile sector
Sun Pharma,Pharmaceutical demand remains stable
Sun Pharma,Healthcare spending continues to support pharmaceutical companies
Sun Pharma,Domestic pharmaceutical activity remains steady
Titan,Consumer demand supports premium retail activity
Titan,Jewellery demand remains an important retail indicator
Titan,Premium consumer spending remains monitored
